product_code,agency_code,name,category,reference_scheme_code,amount_rule,fixed_amount_minor,allow_partial,overpay_treatment,underpay_tolerance_minor,overpay_tolerance_minor,allocation_waterfall,allowed_channels,allowed_instruments,instrument_credit_policy,service_gating,fee_bearer,deposit_refundable,default_revenue_head_code,head_mapping,secondary_lookup_keys,status,effective_from
ETPB-PROF-TAX,ETPB,Professional Tax - Businesses,TAX,PSID-ETPB-17,ASSESSED,,Y,ABSORB,100,200,OLDEST_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|POST_DATED_CHEQUE|CASH,ON_CLEARING,NONE,AGENCY,N,E04220,"{""PRINCIPAL"": ""E04220"", ""SURCHARGE"": ""E04288""}","[""NTN""]",ACTIVE,2026-07-01
ETPB-PROP-TAX,ETPB,Property Tax - Urban Immovable,BILL,PSID-ETPB-17,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,OLDEST_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|CASH,ON_CLEARING,NONE,AGENCY,N,E04291,"{""PRINCIPAL"": ""E04291"", ""SURCHARGE"": ""E04288"", ""ROUNDING"": ""P09999""}","[""PROPERTY_ID"", ""CNIC""]",ACTIVE,2026-07-01
PSCA-CHALLAN-MOV,PSCA,Traffic e-Challan - Moving Violation,FINE,PSID-PSCA-17,ASSESSED,,N,ABSORB,0,100,PENALTY_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CASH,ON_CLEARING,BLOCKS_SERVICE,PAYER,N,C05110,"{""PRINCIPAL"": ""C05110"", ""PENALTY"": ""C05191""}","[""VEHICLE_REG"", ""CNIC"", ""DL_NO""]",ACTIVE,2026-07-01
PSCA-CHALLAN-PARK,PSCA,Traffic e-Challan - Parking,FINE,PSID-PSCA-17,ASSESSED,,N,ABSORB,0,100,PENALTY_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CASH,ON_CLEARING,NONE,PAYER,N,C05115,"{""PRINCIPAL"": ""C05115"", ""PENALTY"": ""C05191""}","[""VEHICLE_REG""]",ACTIVE,2026-07-01
WASA-WATER-DOM,WASA,Water & Sewerage Bill - Domestic,BILL,CRN-WASA-13,ASSESSED,,Y,CREDIT_ON_ACCOUNT,100,100,OLDEST_FIRST,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CHEQUE|CASH,ON_CLEARING,NONE,AGENCY,N,W06110,"{""PRINCIPAL"": ""W06110"", ""FEE"": ""W06115"", ""SURCHARGE"": ""W06188""}","[""CRN"", ""PROPERTY_ID""]",ACTIVE,2026-07-01
LHC-COURT-FEE,LHC,Court Fee - Civil Filing,FEE,PSID-LHC-17,ASSESSED,,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,PAY_ORDER|CASH,PROVISIONAL_WITH_GATE_HOLD,BLOCKS_SERVICE,PAYER,N,J07110,"{""PRINCIPAL"": ""J07110""}","[""CASE_NO"", ""CNIC""]",ACTIVE,2026-07-01
LHC-SEC-DEPOSIT,LHC,Security Deposit - Litigation,DEPOSIT,PSID-LHC-17,ASSESSED,,N,REJECT,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|CARD|WALLET|AGENT|API,PAY_ORDER|DEMAND_DRAFT,ON_CLEARING,BLOCKS_SERVICE,AGENCY,Y,J07910,"{""PRINCIPAL"": ""J07910""}","[""CASE_NO""]",ACTIVE,2026-07-01
BOR-STAMP-DUTY,BOR,Stamp Duty - Property Instrument,STAMP,PSID-BOR-17,ASSESSED,,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,PAY_ORDER|DEMAND_DRAFT|CASH,PROVISIONAL_WITH_GATE_HOLD,BLOCKS_SERVICE,PAYER,N,R08110,"{""PRINCIPAL"": ""R08110"", ""FEE"": ""R08115""}","[""INSTRUMENT_NO"", ""CNIC""]",ACTIVE,2026-07-01
BOR-TENDER-DEP,BOR,Tender / Earnest Money Deposit,DEPOSIT,PSID-BOR-17,OPEN,,N,REJECT,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|CARD|WALLET|AGENT|API,PAY_ORDER|DEMAND_DRAFT,ON_CLEARING,BLOCKS_SERVICE,AGENCY,Y,R08910,"{""PRINCIPAL"": ""R08910""}","[""TENDER_REF"", ""NTN""]",ACTIVE,2026-07-01
NADRA-CNIC-FEE,NADRA,CNIC Issuance / Renewal Fee,FEE,LEGACY-NADRA-14,FIXED,150000,N,AUTO_REFUND,0,0,EXPLICIT_ONLY,APP|QR|RTP|BILLER|ATM|IBANKING|OTC_CASH|CHEQUE|CARD|WALLET|AGENT|API,CASH,ON_CLEARING,BLOCKS_SERVICE,PAYER,N,N09110,"{""PRINCIPAL"": ""N09110""}","[""APPLICATION_NO"", ""CNIC""]",ACTIVE,2026-07-01
