line_item_id,assessment_id,seq,line_type,revenue_head_code,revenue_head_id,tax_period,description,amount_minor,allocated_minor,allocation_priority
LI-000016,AS-00007,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),889000,889000,30
LI-000017,AS-00007,3,PENALTY,B02391,RH-FBR-B02391,2025-26,Penalty - Income Tax - Companies (Advance/Demand),800000,800000,20
LI-000018,AS-00008,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),68250000,26726700,50
LI-000019,AS-00008,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),955500,955500,30
LI-000020,AS-00009,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),73000000,35989000,50
LI-000021,AS-00009,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1022000,1022000,30
LI-000022,AS-00010,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),77750000,77750000,50
LI-000023,AS-00010,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1088500,1088500,30
LI-000024,AS-00010,3,PENALTY,B02391,RH-FBR-B02391,2025-26,Penalty - Income Tax - Companies (Advance/Demand),950000,950000,20
LI-000025,AS-00011,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),82500000,82500000,50
LI-000026,AS-00011,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1155000,1155000,30
LI-000027,AS-00012,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),87250000,87250000,50
LI-000028,AS-00012,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1221500,1221500,30
LI-000029,AS-00013,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),92000000,92000000,50
LI-000030,AS-00013,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1288000,1288000,30
LI-000031,AS-00013,3,PENALTY,B02391,RH-FBR-B02391,2025-26,Penalty - Income Tax - Companies (Advance/Demand),1100000,1100000,20
LI-000032,AS-00014,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),96750000,96750000,50
LI-000033,AS-00014,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1354500,1354500,30
LI-000034,AS-00015,1,PRINCIPAL,B01101,RH-FBR-B01101,2025-26,Principal - Income Tax - Companies (Advance/Demand),101500000,101500000,50
LI-000035,AS-00015,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Companies (Advance/Demand),1421000,1421000,30
LI-000036,AS-00016,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,18000000,0,50
LI-000037,AS-00016,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,144000,0,30
LI-000038,AS-00017,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,21300000,0,50
LI-000039,AS-00017,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,170400,0,30
LI-000040,AS-00018,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,24600000,0,50
LI-000041,AS-00018,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,196800,0,30
LI-000042,AS-00019,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,27900000,27900000,50
LI-000043,AS-00019,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,223200,223200,30
LI-000044,AS-00020,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,31200000,31200000,50
LI-000045,AS-00020,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,249600,249600,30
LI-000046,AS-00021,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,34500000,34500000,50
LI-000047,AS-00021,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,276000,276000,30
LI-000048,AS-00022,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,37800000,37800000,50
LI-000049,AS-00022,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,302400,302400,30
LI-000050,AS-00023,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,41100000,41100000,50
LI-000051,AS-00023,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,328800,328800,30
LI-000052,AS-00024,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,44400000,44400000,50
LI-000053,AS-00024,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,355200,355200,30
LI-000054,AS-00025,1,PRINCIPAL,B02341,RH-FBR-B02341,2026-06,Principal - Sales Tax on Goods - Monthly Return,47700000,47700000,50
LI-000055,AS-00025,2,SURCHARGE,B02389,RH-FBR-B02389,2026-06,Surcharge - Sales Tax on Goods - Monthly Return,381600,381600,30
LI-000056,AS-00026,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,9500000,0,50
LI-000057,AS-00027,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,11600000,11600000,50
LI-000058,AS-00028,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,13700000,13700000,50
LI-000059,AS-00029,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,15800000,15800000,50
LI-000060,AS-00030,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,17900000,17900000,50
LI-000061,AS-00031,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,20000000,20000000,50
LI-000062,AS-00032,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,22100000,22100000,50
LI-000063,AS-00033,1,PRINCIPAL,P02100,RH-PRA-P02100,2026-06,Principal - Punjab Sales Tax on Services - Monthly,24200000,24200000,50
LI-000064,AS-00034,1,PRINCIPAL,S02100,RH-SRB-S02100,2026-06,Principal - Sindh Sales Tax on Services - Monthly,14000000,14000000,50
LI-000065,AS-00035,1,PRINCIPAL,S02100,RH-SRB-S02100,2026-06,Principal - Sindh Sales Tax on Services - Monthly,16600000,0,50
LI-000066,AS-00036,1,PRINCIPAL,S02100,RH-SRB-S02100,2026-06,Principal - Sindh Sales Tax on Services - Monthly,19200000,19200000,50
LI-000067,AS-00037,1,PRINCIPAL,S02100,RH-SRB-S02100,2026-06,Principal - Sindh Sales Tax on Services - Monthly,21800000,21800000,50
LI-000068,AS-00038,1,PRINCIPAL,S02100,RH-SRB-S02100,2026-06,Principal - Sindh Sales Tax on Services - Monthly,24400000,0,50
LI-000069,AS-00039,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),62000000,62000000,50
LI-000070,AS-00039,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1200000,1200000,10
LI-000071,AS-00040,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),70800000,70800000,50
LI-000072,AS-00040,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1290000,1290000,10
LI-000073,AS-00041,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),79600000,0,50
LI-000074,AS-00041,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1380000,0,10
LI-000075,AS-00042,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),88400000,88400000,50
LI-000076,AS-00042,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1470000,1470000,10
LI-000077,AS-00043,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),97200000,97200000,50
LI-000078,AS-00043,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1560000,1560000,10
LI-000079,AS-00044,1,PRINCIPAL,B03110,RH-FBR-B03110,2026-07,Principal - Customs Duty & Taxes (PSW/GD),106000000,106000000,50
LI-000080,AS-00044,2,FEE,B03115,RH-FBR-B03115,2026-07,Fee - Customs Duty & Taxes (PSW/GD),1650000,1650000,10
LI-000081,AS-00045,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,1800000,1800000,50
LI-000082,AS-00046,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,2035000,2035000,50
LI-000083,AS-00047,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,2270000,2270000,50
LI-000084,AS-00048,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,2505000,2505000,50
LI-000085,AS-00049,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,2740000,2740000,50
LI-000086,AS-00050,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,2975000,2975000,50
LI-000087,AS-00051,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,3210000,3210000,50
LI-000088,AS-00052,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,3445000,3445000,50
LI-000089,AS-00053,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,3680000,3680000,50
LI-000090,AS-00054,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,3915000,3915000,50
LI-000091,AS-00055,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,4150000,4150000,50
LI-000092,AS-00056,1,PRINCIPAL,B01110,RH-FBR-B01110,2026-07,Principal - Withholding Tax - Contracts s.153,4385000,4385000,50
LI-000093,AS-00057,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1000000,0,50
LI-000094,AS-00058,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1250000,1250000,50
LI-000095,AS-00058,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,75000,75000,30
LI-000096,AS-00059,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1500000,0,50
LI-000097,AS-00059,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,150000,0,30
LI-000098,AS-00060,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1750000,0,50
LI-000099,AS-00061,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1000000,0,50
LI-000100,AS-00061,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,75000,0,30
LI-000101,AS-00062,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1250000,0,50
LI-000102,AS-00062,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,150000,0,30
LI-000103,AS-00063,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1500000,0,50
LI-000104,AS-00064,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1750000,0,50
LI-000105,AS-00064,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,75000,0,30
LI-000106,AS-00065,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1000000,1000000,50
LI-000107,AS-00065,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,150000,150000,30
LI-000108,AS-00066,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1250000,1250000,50
LI-000109,AS-00067,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1500000,1500000,50
LI-000110,AS-00067,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,75000,75000,30
LI-000111,AS-00068,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1750000,1750000,50
LI-000112,AS-00068,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,150000,150000,30
LI-000113,AS-00069,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1000000,1000000,50
LI-000114,AS-00070,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1250000,1250000,50
LI-000115,AS-00070,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,75000,75000,30
LI-000116,AS-00071,1,PRINCIPAL,E04210,RH-ETPB-E04210,2026-27,Principal - Motor Vehicle Token Tax - Private Car,1500000,0,50
LI-000117,AS-00071,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Motor Vehicle Token Tax - Private Car,150000,0,30
LI-000118,AS-00072,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,500000,0,50
LI-000119,AS-00073,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-06,Principal - Traffic e-Challan - Parking,200000,0,50
LI-000120,AS-00073,2,PENALTY,C05191,RH-PSCA-C05191,2026-06,Penalty - Traffic e-Challan - Parking,100000,0,20
LI-000121,AS-00074,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,200000,200000,50
LI-000122,AS-00074,2,PENALTY,C05191,RH-PSCA-C05191,2026-07,Penalty - Traffic e-Challan - Moving Violation,100000,100000,20
LI-000123,AS-00075,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,350000,350000,50
LI-000124,AS-00076,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,500000,500000,50
LI-000125,AS-00077,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,650000,650000,50
LI-000126,AS-00077,2,PENALTY,C05191,RH-PSCA-C05191,2026-07,Penalty - Traffic e-Challan - Parking,100000,100000,20
LI-000127,AS-00078,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,200000,200000,50
LI-000128,AS-00079,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,350000,350000,50
LI-000129,AS-00080,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,500000,500000,50
LI-000130,AS-00080,2,PENALTY,C05191,RH-PSCA-C05191,2026-07,Penalty - Traffic e-Challan - Moving Violation,100000,100000,20
LI-000131,AS-00081,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,650000,650000,50
LI-000132,AS-00082,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,200000,200000,50
LI-000133,AS-00083,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,350000,350000,50
LI-000134,AS-00083,2,PENALTY,C05191,RH-PSCA-C05191,2026-07,Penalty - Traffic e-Challan - Parking,100000,100000,20
LI-000135,AS-00084,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,500000,500000,50
LI-000136,AS-00085,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,650000,650000,50
LI-000137,AS-00086,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-07,Principal - Traffic e-Challan - Moving Violation,200000,200000,50
LI-000138,AS-00086,2,PENALTY,C05191,RH-PSCA-C05191,2026-07,Penalty - Traffic e-Challan - Moving Violation,100000,100000,20
LI-000139,AS-00087,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-01,Principal - Traffic e-Challan - Parking,150000,150000,50
LI-000140,AS-00088,1,PRINCIPAL,C05110,RH-PSCA-C05110,2026-06,Principal - Traffic e-Challan - Moving Violation,500000,500000,50
LI-000141,AS-00088,2,PENALTY,C05191,RH-PSCA-C05191,2026-06,Penalty - Traffic e-Challan - Moving Violation,100000,100000,20
LI-000142,AS-00089,1,PRINCIPAL,C05115,RH-PSCA-C05115,2026-07,Principal - Traffic e-Challan - Parking,200000,200000,50
LI-000143,AS-00090,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,145000,145000,50
LI-000144,AS-00090,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,30000,30
LI-000145,AS-00090,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,32000,32000,10
LI-000146,AS-00091,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,145000,145000,50
LI-000147,AS-00091,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,15000,30
LI-000148,AS-00091,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,32000,32000,10
LI-000149,AS-00092,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,145000,0,50
LI-000150,AS-00092,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,32000,15700,10
LI-000151,AS-00093,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,157000,157000,50
LI-000152,AS-00093,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,30000,30
LI-000153,AS-00093,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,34000,34000,10
LI-000154,AS-00094,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,157000,157000,50
LI-000155,AS-00094,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,15000,30
LI-000156,AS-00094,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,34000,34000,10
LI-000157,AS-00095,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,157000,157000,50
LI-000158,AS-00095,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,34000,34000,10
LI-000159,AS-00096,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,169000,169000,50
LI-000160,AS-00096,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,30000,30
LI-000161,AS-00096,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,36000,36000,10
LI-000162,AS-00097,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,169000,169000,50
LI-000163,AS-00097,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,15000,30
LI-000164,AS-00097,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,36000,36000,10
LI-000165,AS-00098,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,169000,169000,50
LI-000166,AS-00098,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,36000,36000,10
LI-000167,AS-00099,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,181000,181000,50
LI-000168,AS-00099,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,30000,30
LI-000169,AS-00099,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,38000,38000,10
LI-000170,AS-00100,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,181000,181000,50
LI-000171,AS-00100,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,15000,30
LI-000172,AS-00100,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,38000,38000,10
LI-000173,AS-00101,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,181000,181000,50
LI-000174,AS-00101,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,38000,38000,10
LI-000175,AS-00102,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,193000,193000,50
LI-000176,AS-00102,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,30000,30
LI-000177,AS-00102,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,40000,40000,10
LI-000178,AS-00103,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,193000,0,50
LI-000179,AS-00103,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,0,30
LI-000180,AS-00103,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,40000,0,10
LI-000181,AS-00104,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,193000,0,50
LI-000182,AS-00104,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,40000,0,10
LI-000183,AS-00105,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,205000,0,50
LI-000184,AS-00105,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,0,30
LI-000185,AS-00105,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,42000,0,10
LI-000186,AS-00106,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,205000,0,50
LI-000187,AS-00106,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,0,30
LI-000188,AS-00106,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,42000,0,10
LI-000189,AS-00107,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,205000,0,50
LI-000190,AS-00107,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,42000,0,10
